method,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,stringLiteralsQty,numbersQty,assignmentsQty,maxNestedBlocksQty,uniqueWordsQty,testSmellName
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrder_cyclicGraphContainingTree,963,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,29,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_twoTrees,286,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,18,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrderIterable_tree,944,4,1,4,6,0,1,4,1,1,0,0,0,6,0,1,0,19,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_twoTrees,482,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,20,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_twoCycles,446,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,27,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirst_cyclicGraphContainingTree,828,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,27,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_infinite,384,4,1,8,4,0,1,8,0,0,0,0,0,0,8,1,0,12,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_infinite,384,4,1,8,4,0,1,8,0,0,0,0,0,0,8,1,0,12,Assertion Roulette
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrderIterable_cycle,618,4,1,4,7,0,1,4,1,1,0,0,0,8,0,1,0,25,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrder_emptyGraph,693,3,2,4,8,0,0,4,1,2,0,0,1,1,0,0,1,14,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrder_twoTrees,999,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,20,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrder_twoTrees,663,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,20,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_javadocExample_canBeIteratedMultipleTimes,172,3,1,3,5,0,1,3,1,1,0,0,0,2,0,1,0,27,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_singleRoot,496,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,23,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_emptyGraph,313,3,2,4,8,0,0,4,1,2,0,0,1,1,0,0,1,12,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrderIterable_emptyGraph,520,4,2,6,9,0,0,6,2,2,0,0,1,4,0,0,1,21,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrder_tree,1074,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,16,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_infinite,188,4,1,8,4,0,1,8,0,0,0,0,0,0,9,1,0,10,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_infinite,188,4,1,8,4,0,1,8,0,0,0,0,0,0,9,1,0,10,Assertion Roulette
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrder_iterableIsLazy,1178,5,1,6,8,0,2,6,1,1,0,0,0,2,2,2,0,22,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrder_iterableIsLazy,1178,5,1,6,8,0,2,6,1,1,0,0,0,2,2,2,0,22,Assertion Roulette
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrderIterable_graphContainingTreeAndDiamond,990,4,1,4,6,0,1,4,1,1,0,0,0,6,0,1,0,33,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirstIterable_diamond,204,4,1,4,8,0,1,4,1,1,0,0,0,10,0,1,0,24,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrder_twoCycles,627,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,27,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrder_graphContainingTreeAndDiamond,981,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,30,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrderIterable_twoCycles,455,4,1,4,7,0,1,4,1,1,0,0,0,8,0,1,0,30,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_emptyGraph,511,3,2,4,8,0,0,4,1,2,0,0,1,1,0,0,1,14,Eager Test
