Method,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,CLASS
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetDoubleProperty,4,1,7,14,0,6,0,7,0,0,0,0,0,0,3,4,7,0,0,0,0,0,17,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetEnumProperty,5,1,6,10,0,2,0,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,15,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testOnRepositoryChange,9,1,22,59,0,24,0,22,0,0,0,0,0,0,15,2,26,2,0,1,0,0,40,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testLoadFromRepositoryFailedAndThenRecovered,4,1,14,17,0,5,0,14,0,0,0,0,0,0,3,1,6,0,0,0,0,0,22,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetIntPropertyMultipleTimesWithSmallCache,7,1,12,21,0,6,0,12,0,0,0,0,0,0,2,6,7,0,0,0,0,0,26,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testFireConfigChangeWithInterestedKeys,8,1,12,40,0,14,0,12,0,0,0,0,0,0,4,2,14,0,0,3,0,0,29,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetPropertyNames,3,2,8,13,0,5,0,8,0,0,1,0,0,0,2,3,6,2,1,0,0,0,17,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetPropertyWithAllPropertyHierarchy,3,1,13,30,0,11,0,13,0,0,0,0,0,0,12,0,13,4,0,0,0,0,28,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetPropertyNamesWithOrderedProperties,6,2,10,19,0,5,0,10,0,0,1,0,0,0,2,3,6,2,1,1,0,0,24,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetLongProperty,4,1,7,14,0,6,0,7,0,0,0,0,0,0,3,2,7,0,0,0,0,0,19,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetIntPropertyMultipleTimesWithCache,4,1,11,13,0,4,0,11,0,0,0,0,0,0,1,3,5,0,0,0,0,0,22,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetArrayProperty,4,1,8,14,0,7,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,18,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetBooleanProperty,4,1,7,14,0,6,0,7,0,0,0,0,0,0,3,0,7,0,0,0,0,0,18,1,0,AR
