cbo,wmc,dit,rfc,lcom,totalMethodsQty,totalFieldsQty,returnQty,loopQty,stringLiteralsQty,loc,comparisonsQty,parenthesizedExpsQty,assignmentsQty,variablesQty,maxNestedBlocksQty,lambdasQty,uniqueWordsQty,CLASS
17,16,3,37,0,11,6,2,1,6,96,0,3,33,32,2,0,84,AR
7,8,3,9,28,8,0,1,0,7,78,0,0,21,21,0,0,26,AR
9,7,3,10,21,7,0,1,0,6,57,0,0,18,18,0,0,25,AR
12,4,3,13,6,4,0,1,0,3,27,0,0,11,11,0,0,31,AR
7,2,3,12,1,2,0,1,0,7,15,0,0,1,1,0,0,14,AR
11,7,3,7,21,7,0,1,0,6,35,0,0,12,12,0,0,31,AR
9,5,3,15,1,2,0,1,0,13,32,0,0,4,4,1,0,28,AR
6,2,2,5,1,2,0,1,0,2,15,0,0,4,4,0,0,28,AR
9,1,2,5,0,1,0,0,0,2,8,0,0,3,3,0,0,20,AR
11,4,2,8,1,2,0,1,2,2,19,0,0,6,6,1,0,25,AR
13,1,2,17,0,1,0,0,0,0,11,0,0,5,5,0,0,21,AR
17,2,2,19,0,2,1,1,0,2,21,0,0,11,11,0,0,34,AR
31,11,2,55,37,11,10,5,0,9,119,0,2,58,56,1,2,89,AR
24,7,2,31,4,5,11,3,0,3,42,2,0,23,22,0,0,57,AR
17,5,2,21,8,5,9,3,0,3,38,0,0,18,18,0,0,44,AR
22,5,2,30,2,5,7,3,0,4,55,0,0,29,27,0,0,55,AR
22,5,2,29,2,5,9,3,0,4,56,0,0,30,28,0,0,55,AR
10,2,2,4,1,2,0,0,0,3,14,0,0,6,6,0,0,21,AR
10,2,2,3,1,2,0,0,0,3,14,0,0,6,6,0,0,19,AR
23,3,2,37,3,3,0,0,0,17,30,0,0,16,16,0,0,44,AR
15,9,2,15,0,9,4,0,0,9,71,0,4,31,31,0,0,37,AR
6,1,2,2,0,1,0,0,0,2,7,0,0,2,2,0,0,15,AR
4,3,1,7,0,3,1,0,0,10,25,0,0,9,9,0,0,41,AR
17,5,2,20,8,5,4,1,0,5,44,0,0,16,16,0,0,62,AR
15,10,2,15,28,8,0,3,0,15,53,0,0,13,11,1,0,58,AR
9,2,1,12,1,2,0,0,0,0,17,0,0,8,8,0,0,28,AR
8,2,1,12,1,2,0,0,0,0,20,0,0,8,8,0,0,27,AR
9,2,2,3,1,2,0,0,0,2,10,0,0,3,3,0,0,20,AR
14,9,3,22,6,4,1,4,2,1,35,2,0,16,16,3,0,43,AR
8,3,1,9,0,1,0,0,0,10,28,0,0,14,13,2,0,26,AR
7,2,2,18,1,2,0,0,0,0,30,0,0,9,8,0,0,32,AR
8,2,2,4,1,2,0,0,0,13,17,0,0,4,4,0,0,30,AR
26,13,2,17,78,13,0,0,0,55,203,0,0,49,39,0,0,56,AR
7,1,2,4,0,1,0,0,0,3,8,0,0,2,2,0,0,17,AR
8,5,1,8,10,5,0,0,0,0,35,0,0,10,10,0,0,32,AR
13,4,1,25,0,4,1,0,0,0,46,0,0,14,14,0,0,49,AR
13,4,1,25,0,4,1,0,0,0,45,0,0,12,12,0,0,48,AR
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
8,8,1,13,21,7,0,2,1,14,49,0,0,6,6,1,0,31,ET
7,7,1,12,15,6,0,1,1,14,42,0,0,6,6,1,0,30,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
6,2,1,4,0,2,1,0,0,5,12,0,0,0,1,1,2,24,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
8,8,1,13,21,7,0,2,1,14,49,0,0,6,6,1,0,31,ET
7,7,1,12,15,6,0,1,1,14,42,0,0,6,6,1,0,30,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
6,2,1,4,0,2,1,0,0,5,12,0,0,0,1,1,2,24,ET
26,5,1,74,0,5,6,0,0,46,140,0,0,48,42,0,0,99,ET
14,3,1,19,1,3,4,0,0,4,33,0,0,13,11,0,0,46,ET
16,3,1,23,1,3,5,0,0,10,37,0,0,13,11,0,0,52,ET
14,3,1,13,1,3,4,0,0,6,29,0,0,11,9,0,0,41,ET
14,2,1,19,0,2,2,0,0,7,32,0,1,6,7,0,0,30,ET
7,1,1,7,0,1,1,0,0,2,19,0,0,3,3,0,0,24,ET
14,4,1,15,6,4,0,0,0,5,38,0,0,14,14,0,0,44,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
8,8,1,13,21,7,0,2,1,14,49,0,0,6,6,1,0,31,ET
7,7,1,12,15,6,0,1,1,14,42,0,0,6,6,1,0,30,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
6,2,1,4,0,2,1,0,0,5,12,0,0,0,1,1,2,24,ET
26,5,1,74,0,5,6,0,0,46,140,0,0,48,42,0,0,99,ET
14,3,1,19,1,3,4,0,0,4,33,0,0,13,11,0,0,46,ET
16,3,1,23,1,3,5,0,0,10,37,0,0,13,11,0,0,52,ET
14,3,1,13,1,3,4,0,0,6,29,0,0,11,9,0,0,41,ET
14,2,1,19,0,2,2,0,0,7,32,0,1,6,7,0,0,30,ET
7,1,1,7,0,1,1,0,0,2,19,0,0,3,3,0,0,24,ET
14,4,1,15,6,4,0,0,0,5,38,0,0,14,14,0,0,44,ET
9,6,1,32,9,6,15,0,0,28,61,0,0,6,16,0,0,58,ET
15,5,1,27,10,5,1,0,0,7,36,0,0,7,8,0,0,46,ET
19,4,1,20,0,4,1,1,0,13,45,0,0,16,15,0,0,47,ET
15,5,1,16,0,5,3,0,0,16,40,0,0,11,14,1,0,26,ET
7,1,1,1,0,1,1,0,0,0,7,0,0,1,2,0,0,13,ET
7,1,1,4,0,1,1,0,0,0,8,0,0,1,2,0,0,14,ET
7,1,1,4,0,1,1,0,0,0,8,0,0,1,2,0,0,14,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
8,8,1,13,21,7,0,2,1,14,49,0,0,6,6,1,0,31,ET
7,7,1,12,15,6,0,1,1,14,42,0,0,6,6,1,0,30,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
6,2,1,4,0,2,1,0,0,5,12,0,0,0,1,1,2,24,ET
26,5,1,74,0,5,6,0,0,46,140,0,0,48,42,0,0,99,ET
14,3,1,19,1,3,4,0,0,4,33,0,0,13,11,0,0,46,ET
